KODI I PRODUKTIT,NAME,PRICE,MARKA,MODELI,GARANCIA,Category,Child category 1,Child category 2
B0ROWTPLWR840NI,Router Wireless TP-LINK TL-WR840N,2990,TP-LINK,TL-WR840N,24,KOMPJUTERA,AKSESORE KOMPJUTERI,NETWORK
B0SWTPL16TLSF1016DAM,Switch TP-Link 16 Porta TL-SF1016D AM,3490,TP-LINK,TL-SF1016D,36,KOMPJUTERA,AKSESORE KOMPJUTERI,NETWORK
B0SWTPL5TLS1005I,Switch TP-Link 5 Porta LS1005,1000,TP-LINK,LS1005,24,KOMPJUTERA,AKSESORE KOMPJUTERI,NETWORK
B0SWTPL5TLS1008I,Switch TP-Link 8 Porta LS1008,1200,TP-LINK,LS1008,24,KOMPJUTERA,AKSESORE KOMPJUTERI,NETWORK
B0SWTPLGB8PTLSG1008D,Switch TP-Link Gigabit 8 Porta TL-SG1008D,2990,TP-LINK,TL-SG1008D,12,KOMPJUTERA,AKSESORE KOMPJUTERI,NETWORK
B0TAAPMQ052ZAS,Tastiere Apple mq052z/a Silver,16990,APPLE,MQ052Z/A,0,KOMPJUTERA,AKSESORE KOMPJUTERI,0
B0TAGAAUBFWBK,Tastiere Gaming Aula Be Fire Wired Black,2990,AULA,AULA BE FIRE WIRED,0,LOJRA & HOBI & GADGETS,VIDEO LOJRA,AKSESORE VIDEO LOJRA
B0TAGAHMEX217818B,Tastiere Gaming Hama Exodus 220 217818 Black,1990,HAMA,217818,0,KOMPJUTERA,AKSESORE KOMPJUTERI,0
B0TAGALEK300WI,Tastiere Gaming Lenovo K300 Wired I,5490,LENOVO,K300,0,LOJRA & HOBI & GADGETS,VIDEO LOJRA,AKSESORE VIDEO LOJRA
B0TAGATRGXT830RWA,Tastiere Gaming Trust GXT 830-RW Avonn,3490,TRUST,21621,0,KOMPJUTERA,AKSESORE KOMPJUTERI,0
B0TAHPPKW150664R5AA,Tastiere HP Wired 150 664R5AA Black,2890,HP,664R5AA,0,KOMPJUTERA,AKSESORE KOMPJUTERI,0
B0TALOMK100PK,Tastiere Logitech MK100 PK,2990,LOGITECH,MK100,0,KOMPJUTERA,AKSESORE KOMPJUTERI,0
B0TAMAWDEKM3322WI,Tastiere + Mouse Wireless Dell KM3322W Black I,3990,DELL,580-AKFZ,0,KOMPJUTERA,AKSESORE KOMPJUTERI,0
B0TAMAWDELLKM3322W580AKFZI,Tastiere + Mouse Dell Wireless KM3322W,3990,DELL,580-AKFZ,12,KOMPJUTERA,AKSESORE KOMPJUTERI,0
B0TAMAWGKM8100B,Tastiere + Mouse Wireless Genius KM-8100 Black,2490,GENIUS,KM-8100,0,KOMPJUTERA,AKSESORE KOMPJUTERI,0
B0TAMAWHP100240J7AAI,Tastiere + Mouse Wired HP 100 240J7AA I,2490,HP,240J7AA,0,KOMPJUTERA,AKSESORE KOMPJUTERI,0
B0TAMAWHP3302V9E6AAI,Tastiere + Mouse Wireless HP 330 2V9E6AA I,3490,HP,2V9E6AA,0,KOMPJUTERA,AKSESORE KOMPJUTERI,0
B0TAMAWHPPK4004CE97AAB,Tastiere + Mouse Wired HP 400 4CE97AA Black,4490,HP,4CE97AA,0,KOMPJUTERA,AKSESORE KOMPJUTERI,0
B0TAMAWHPPV9DF28AAI,Tastiere + Mouse Wired HP Pavilion 9DF28AA,2990,HP,9DF28AA,0,KOMPJUTERA,AKSESORE KOMPJUTERI,0
B0TAMAWLEN4X30L79922,Tastiere + Mouse Wired Lenovo 4X30L79922 Black,4990,LENOVO,4X30L79922,24,KOMPJUTERA,AKSESORE KOMPJUTERI,0
B0TAMAWMH178990BI,Tastiere + Mouse Wireless Manhattan 178990 Black,1890,MANHATTAN,178990-001000,0,KOMPJUTERA,AKSESORE KOMPJUTERI,0
B0TAMOGBMPSBKBAM,Tapet Mouse Gembird MPS-BK Black,290,GEMBIRD,MPS-BK,0,KOMPJUTERA,AKSESORE KOMPJUTERI,0
B0TAMOHM126858B,Tapet Mouse Hama 126858 Black,390,HAMA,126858,0,KOMPJUTERA,AKSESORE KOMPJUTERI,0
B0TAMOHM126861B,Tapet Mouse Hama 126861 Grey,390,HAMA,126861,0,KOMPJUTERA,AKSESORE KOMPJUTERI,0
B0TAMOPLPKC700B,Tastiere + Mouse Pleomax PKC-700B,2690,PLEOMAX,PKC-700B,0,KOMPJUTERA,AKSESORE KOMPJUTERI,0
B0TAMOWHP23018H24AAI,Tastiere + Mouse Wireless HP 230 18H24AA I,3990,HP,18H24AA,0,KOMPJUTERA,AKSESORE KOMPJUTERI,0
B0TAWHPOMS9BU31AAPK,Tastiere Wireless HP Omen Spacer 9BU31AA PK,19990,HP,9BU31AA,0,KOMPJUTERA,AKSESORE KOMPJUTERI,0
B0TNPRHPCB540XCF210XB,Toner printeri HP CB 540X/CF210X Black,2990,HP,540X/CF210X,0,KOMPJUTERA,PRINTERA,TONER PRINTERI
B0TNPRHPCB541ACF211AC,Toner printeri HP CB 541A/CF211A Cyan,2990,HP,541A/CF211A,0,KOMPJUTERA,PRINTERA,TONER PRINTERI
B0TNPRHPCB542ACF212AY,Toner printeri HP CB 542A/CF212A Yellow,2990,HP,542A/CF212A,0,KOMPJUTERA,PRINTERA,TONER PRINTERI
B0TNPRHPCB543ACF213AM,Toner printeri HP CB 543A/CF213A Magenta,2990,HP,543A/CF213A,0,KOMPJUTERA,PRINTERA,TONER PRINTERI
B0UPSPT650VA390WS650BXI,UPS Power Tree 650 VA 390 Watts S650BX,6990,POWER TREE,S650BX ,12,KOMPJUTERA,AKSESORE KOMPJUTERI,UPS
B0UPSPT850VA510WS850EI,UPS Power Tree 850 VA 510 Watts S850E,8990,POWER TREE,S850E,12,KOMPJUTERA,AKSESORE KOMPJUTERI,UPS
B0USBHMC18105116GBS,USB Hama Classic 181051 16GB USB 3.0 Silver,490,HAMA,181051,0,KOMPJUTERA,STORAGE,USB
B0USBHMC18105232GBS,USB Hama Classic 181052 32GB USB 3.0 Silver,690,HAMA,181052,0,KOMPJUTERA,STORAGE,USB
B0USBHMC18105364GBS,USB Hama Classic 181053 64GB USB 3.0 Silver,890,HAMA,181053,0,KOMPJUTERA,STORAGE,USB
B0USBHMC181054128GBS,USB Hama Classic 181054 128GB USB 3.0 Silver,1190,HAMA,181054,0,KOMPJUTERA,STORAGE,USB
B0USBHMC181055256GBS,USB Hama Classic 181055 256GB USB 3.0 Silver,1990,HAMA,181055,0,KOMPJUTERA,STORAGE,USB
B0USBKNGDE128GB,USB KINGSTON DT EXODIA 128GB USB3.2,1290,KINGSTON,A18699,0,KOMPJUTERA,STORAGE,USB
B0USBKNGDE64GB,USB KINGSTON DT EXODIA 64GB USB 3.0 USB3.2 GEN1,990,KINGSTON,A18703,0,KOMPJUTERA,STORAGE,USB
B0USBPH16GB,USB Philips 16 GB Android Logo,2190,PHILIPS,16 GB ANDROID,0,KOMPJUTERA,STORAGE,USB
B0USBSA32GBIXSDIX30C032GGN6NN,USB Sandisk 32GB iXpand SDIX30C-032G-GN6NN,2290,SANDISK,SDIX30C-032G-GN6NN,0,KOMPJUTERA,STORAGE,USB
B0USBSA32GBSDCZ50032GB35AM,USB Sandisk 32GB SDCZ50-032G-B35 AM,790,SANDISK,SDCZ50-032G-B35,0,KOMPJUTERA,STORAGE,USB
B0USBSA32GBUFSDCZ73032GG46AM,USB Sandisk 32GB Ultra Flair SDCZ73-032G-G46 AM,1390,SANDISK,SDCZ73-032G-G46,0,KOMPJUTERA,STORAGE,USB
B0USBSA64GBSDCZ73064GG46AM,USB Sandisk Ultra Flair 64GB SDCZ73-064G-G46 AM,2290,SANDISK,SDCZ73-064G-G46,0,KOMPJUTERA,STORAGE,USB
B0USBSACB16GBSDCZ50016GB35AM,USB Sandisk Cruzer Blade 16GB SDCZ50-016G-B35 AM,590,SANDISK,SDCZ50-016G-B35,0,KOMPJUTERA,STORAGE,USB
B0USBSD16GBSDCZ33016GG35AM,USB Sandisk 16GB SDCZ33-016G-G35 AM,690,SANDISK,SDCZ33-016G-G35,0,KOMPJUTERA,STORAGE,USB
B0USBSD16GBSDCZ48016GU46AM,USB Sandisk 16GB SDCZ48-016G-U46 AM,690,SANDISK,SDCZ48-016G-U46,0,KOMPJUTERA,STORAGE,USB
B0USBSD32GBSDCZ48032GU46AM,USB Sandisk 32GB SDCZ48-032G-U46 AM,890,SANDISK,SDCZ48-032G-U46,0,KOMPJUTERA,STORAGE,USB
B0USBSD64GBSDCZ48064GU46AM,USB Sandisk 64GB SDCZ48-064G-U46 AM,1190,SANDISK,SDCZ48-064G-U46,0,KOMPJUTERA,STORAGE,USB
B0USBV49317PS32GBI,USB Verbatim PinStripe 32GB 49317 3.2 Gen 1,690,VERBATIM,49317,0,KOMPJUTERA,STORAGE,USB
B0USBV49318PS64GBI,USB Verbatim PinStripe 64GB 49318 3.2 Gen 1,890,VERBATIM,49318,0,KOMPJUTERA,STORAGE,USB
B0USBV49319PS128GBI,USB Verbatim PinStripe 128GB 49319 3.2 Gen 1,1190,VERBATIM,49319,0,KOMPJUTERA,STORAGE,USB
B0USBVSNG49189128GBGI,USB verbatim Store N Go 128GB 49189 Grey,1290,VERBATIM,49189,0,KOMPJUTERA,STORAGE,USB
B0USBWITPLTL-WN722NAM,USB Wireless TP-LINK High Gain TL-WN722N AM,1690,TP-LINK,TL-WN722N,36,KOMPJUTERA,STORAGE,USB
B0USBWITPLTLWN725NAM,USB Wireless TP-LINK TL-WN725N AM,1290,TP-LINK,TL-WN725N,36,KOMPJUTERA,STORAGE,USB
